<oov> 1.0	<oov>
AB 1.0	A B EE
ABBA 1.0	A B B A
ABDI 1.0	A B D I
ABDUL 1.0	A B D U L
ABDULLAH 1.0	A B D U L L A H
ABDURRAHMAN 1.0	A B D U R R A H M A N
ABG 1.0	A B EE G EE
ABSENNYA 1.0	A B S EE N NY A
ABU 1.0	A B U
ACARA 1.0	A C A R A
ACEH 1.0	A C EE H
ADA 1.0	A D A
ADALAH 1.0	A D A L A H
ADANYA 1.0	A D A NY A
ADAPUN 1.0	A D A P U N
ADI 1.0	A D I
ADIORA 1.0	A D I O R A
ADISUSANTO 1.0	A D I S U S A N T O
ADIYAKSA 1.0	A D I Y A K S A
ADLANI 1.0	A D L A N I
ADNAN 1.0	A D N A N
ADVOKASI 1.0	A D V O K A S I
AFGANISTAN 1.0	A F G A N I S T A N
AFP 1.0	A EE F P EE
AGAMA 1.0	A G A M A
AGENDA 1.0	A G EE N D A
AGIL 1.0	A G I L
AGNIEZKA 1.0	A G N I E Z K A
AGUS 1.0	A G U S
AGUSTINE 1.0	A G U S T I N EE
AGVA 1.0	A G V A
AHLI 1.0	A H L I
AHQAM 1.0	A H K A M
AI 1.0	A I
AIR 1.0	A I R
AJWAR 1.0	A J W A R
AKAN 1.0	A K A N
AKEN 1.0	A K EE N
AKHIR 1.0	A KH I R
AKHMAD 1.0	A H M A D
AKIBAT 1.0	A K I B A T
AKIBATNYA 1.0	A K I B A T NY A
AKTIVIS 1.0	A K T I V I S
AKTRIS 1.0	A K T R I S
AL 1.0	A EE L
ALAM 1.0	A L A M
ALASAN 1.0	A L A S A N
ALASANNYA 1.0	A L A S A N NY A
ALAT 1.0	A L A T
ALBUM 1.0	A L B U M
ALEKX 1.0	A L EE K S
ALEX 1.0	A L EE K S
ALEXANDER 1.0	A L EE K S A N D E R
ALFA 1.0	A L F A
ALI 1.0	A L I
ALIMUDDIN 1.0	A L I M U D D I N
ALMARHUM 1.0	A L M A R H U M
ALQAEDA 1.0	A L K A EE D A
ALQURAN 1.0	A L K U R A N
AMAZON 1.0	A M A Z O N
AMEDEO 1.0	A M EE D EE O
AMERIKA 1.0	A M EE R I K A
AMPUH 1.0	A M P U H
ANAK 1.0	A N A K
ANAM 1.0	A N A M
ANCAMAN 1.0	A N C A M A N
ANDA 1.0	A N D A
ANDRAE 1.0	A N D R A EE
ANDYANTO 1.0	A N D Y A N T O
ANGGOTA 1.0	A NG G O T A
ANGIE 1.0	A NG I EE
ANGKA 1.0	A NG K A
ANGKASA 1.0	A NG K A S A
ANGKATAN 1.0	A NG K A T A N
ANGLO 1.0	A NG L O
ANJLOK 1.0	A N J L O K
ANTARA 1.0	A N T A R A
ANTARANYA 1.0	A N T A R A NY A
ANTHRAX 1.0	A N T R A K S
ANUMERTA 1.0	A N U M E R T A
ANWAR 1.0	A N W A R
APA 1.0	A P A
APAKAH 1.0	A P A K A H
APALAGI 1.0	A P A L A G I
APARAT 1.0	A P A R A T
APBN 1.0	A P EE B EE EE N
API 1.0	A P I
AQSA 1.0	A K S A
AQUINO 1.0	A K U I N O
ARABIA 1.0	A R A B I A
ARAH 1.0	A R A H
ARANTXA 1.0	A R A N T S A
ARIF 1.0	A R I F
ARIFIN 1.0	A R I F I N
ARITONANG 1.0	A R I T O N A NG
ARQAM 1.0	A R K A M
ARROYO 1.0	A R R O Y O
ARRYMAN 1.0	A R R I M A N
ARTHO 1.0	A R T O
ARUS 1.0	A R U S
ARY 1.0	A R I
AS 1.0	A EE S
ASAP 1.0	A S A P
ASAS 1.0	A S A S
ASIA 1.0	A S I A
ASING 1.0	A S I NG
ASPEK 1.0	A S P EE K
ASSIDIQQIAH 1.0	A S S I D I K K I A H
ASTAGFIRULLAH 1.0	A S T A G F I R U L L A H
ASTON 1.0	A S T O N
ASURANSI 1.0	A S U R A N S I
ASYRAF 1.0	A SY R A F
AT 1.0	A T
ATAL 1.0	A T A L
ATAS 1.0	A T A S
ATAU 1.0	A T A U
ATRAKSI 1.0	A T R A K S I
AUDI 1.0	A U D I
AUSTRIA 1.0	A U S T R I A
AVI 1.0	A V I
AVTUR 1.0	A V T U R
AWAN 1.0	A W A N
AWARD 1.0	A W A R D
AYAM 1.0	A Y A M
AZAM 1.0	A Z A M
AZIZ 1.0	A Z I Z
AZMAN 1.0	A Z M A N
AZWAR 1.0	A Z W A R
B 1.0	B EE
BAASYIR 1.0	B A A SY I R
BADA 1.0	B A D A
BADAI 1.0	B A D AI
BADAN 1.0	B A D A N
BAGAIMANA 1.0	B A G A I M A N A
BAGI 1.0	B A G I
BAGIAN 1.0	B A G I A N
BAHAN 1.0	B A H A N
BAHKAN 1.0	B A H K A N
BAHU 1.0	B A H U
BAHWA 1.0	B A H W A
BAIHAQI 1.0	B A I H A K I
BAKAR 1.0	B A K A R
BALIK 1.0	B A L I K
BALKAN 1.0	B A L K A N
BANDANG 1.0	B A N D A NG
BANDARA 1.0	B A N D A R A
BANDUNG 1.0	B A N D U NG
BANGKU 1.0	B A NG K U
BANGSA 1.0	B A NG S A
BANJIR 1.0	B A N J I R
BANK 1.0	B A NG
BANTUAN 1.0	B A N T U A N
BANTUANNYA 1.0	B A N T U A N NY A
BANYAK 1.0	B A NY A K
BANYUMAS 1.0	B A NY U M A S
BANYUWANGI 1.0	B A NY U W A NG I
BARAK 1.0	B A R A K
BARANG 1.0	B A R A NG
BARAT 1.0	B A R A T
BARENG 1.0	B A R E NG
BARNA 1.0	B A R N A
BARREL 1.0	B A R R E L
BARTHEZ 1.0	B A R T EE Z
BARTOK 1.0	B A R T O K
BARU 1.0	B A R U
BASIS 1.0	B A S I S
BATU 1.0	B A T U
BAWAH 1.0	B A W A H
BAYERN 1.0	B A Y E R N
BAYI 1.0	B A Y I
BCA 1.0	B EE C EE A
BEBAS 1.0	B EE B A S
BEBERAPA 1.0	B E B E R A P A
BEGITU 1.0	B E G I T U
BEHARI 1.0	B EE H A R I
BEIJING 1.0	B EE I J I NG
BEJBEL 1.0	B EE J B EE L
BEKASI 1.0	B E K A S I
BEKERJA 1.0	B E K E R J A
BELAKA 1.0	B E L A K A
BELAKANG 1.0	B E L A K A N G
BELAS 1.0	B E L A S
BELFAS 1.0	B EE L F A S
BELUM 1.0	B E L U M
BENAR 1.0	B E N A R
BENCANA 1.0	B E N C A N A
BENDERA 1.0	B E N D EE R A
BENTUK 1.0	B E N T U K
BERADA 1.0	B E R A D A
BERANGKAT 1.0	B E R A NG K A T
BERAPA 1.0	B E R A P A
BERARTI 1.0	B E R A R T I
BERAWAL 1.0	B E R A W A L
BERBAGAI 1.0	B E R B A G A I
BERBAGI 1.0	B E R B A G I
BERBAHASA 1.0	B E R B A H A S A
BERBALIK 1.0	B E R B A L I K
BERBEDA 1.0	B E R B EE D A
BERBICARA 1.0	B E R B I C A R A
BERBOBOT 1.0	B E R B O B O T
BERBUAT 1.0	B E R B U A T
BERDASARKAN 1.0	B E R D A S A R K A N
BERDEMONSTRASI 1.0	B E R D EE M O N S T R A S I
BERFUNGSI 1.0	B E R F U NG S I
BERHASIL 1.0	B E R H A S I L
BERINGIN 1.0	B E R I NG I N
BERITA 1.0	B E R I T A
BERITAHUKAN 1.0	B E R I T A U K A N
BERJALAN 1.0	B E R J A L A N
BERJANGKIT 1.0	B E R J A NG K I T
BERKAITAN 1.0	B E R K A I T A N
BERKAT 1.0	B E R K A T
BERKEDOK 1.0	B E R K E D O K
BERKEKUATAN 1.0	B E R K E K U A T A N
BERKELANA 1.0	B E R K E L A N A
BERLINDUNG 1.0	B E R L I N D U NG
BERMAIN 1.0	B E R M A I N
BERMALAM 1.0	B E R M A L A M
BERMOTOR 1.0	B E R M O T O R
BERMULA 1.0	B E R M U L A
BERNARD 1.0	B E R N A R D
BERNOMOR 1.0	B E R N O M O R
BEROBAT 1.0	B E R O B A T
BERPELAT 1.0	B E R P E L A T
BERPENDAPAT 1.0	B E R P E N D A P A T
BERPENGARUH 1.0	B E R P E NG A R U H
BERPIDATO 1.0	B E R P I D A T O
BERPROMOSI 1.0	B E R P R O M O S I
BERSALAMAN 1.0	B E R S A L A M A N
BERSAMA 1.0	B E R S A M A
BERSAMAAN 1.0	B E R S A M A A N
BERSEDIA 1.0	B E R S E D I A
BERSEMBUNYI 1.0	B E R S E M B U NY I
BERSENJATA 1.0	B E R S E N J A T A
BERSIKAP 1.0	B E R S I K A P
BERTABURAN 1.0	B E R T A B U R A N
